EmployeeID,Gender,JobRole,JobLevel,EducationField,Department,MaritalStatus,Attrition
1,Female,Laboratory Technician,2,Medical,Sales,Married,0
2,Female,Laboratory Technician,1,Life Sciences,Research & Development,Married,0
3,Female,Human Resources,1,Life Sciences,Sales,Single,0
4,Male,Laboratory Technician,1,Medical,Sales,Single,0
5,Male,Research Scientist,2,Medical,Research & Development,Single,0
6,Male,Sales Representative,1,Medical,Research & Development,Married,0
7,Female,Sales Representative,1,Technical Degree,Sales,Single,0
8,Female,Sales Representative,2,Technical Degree,Research & Development,Single,0
9,Male,Healthcare Representative,1,Technical Degree,Research & Development,Single,0
10,Male,Sales Executive,2,Life Sciences,Human Resources,Married,0
11,Female,Sales Executive,1,Medical,Sales,Married,0
12,Female,Sales Executive,4,Technical Degree,Sales,Single,0
13,Male,Sales Executive,2,Life Sciences,Sales,Divorced,1
14,Male,Human Resources,1,Medical,Sales,Single,0
15,Male,Sales Executive,1,Human Resources,Sales,Married,0
16,Male,Human Resources,5,Marketing,Research & Development,Divorced,0
17,Male,Laboratory Technician,2,Marketing,Sales,Married,0
18,Male,Sales Executive,1,Human Resources,Research & Development,Married,0
19,Male,Sales Representative,3,Life Sciences,Sales,Married,1
20,Male,Research Scientist,1,Life Sciences,Sales,Single,0
21,Female,Sales Executive,1,Life Sciences,Sales,Single,1
22,Male,Manufacturing Director,5,Life Sciences,Sales,Married,0
23,Male,Healthcare Representative,2,Technical Degree,Research & Development,Divorced,0
24,Female,Manufacturing Director,2,Life Sciences,Sales,Married,0
25,Female,Laboratory Technician,5,Medical,Research & Development,Single,1
26,Male,Sales Executive,1,Medical,Research & Development,Married,0
27,Male,Sales Representative,1,Technical Degree,Research & Development,Divorced,0
28,Male,Sales Executive,1,Medical,Research & Development,Divorced,0
29,Male,Sales Executive,1,Life Sciences,Research & Development,Single,0
30,Male,Research Scientist,3,Life Sciences,Research & Development,Married,0
31,Male,Sales Representative,2,Other,Research & Development,Divorced,0
32,Female,Sales Executive,1,Life Sciences,Sales,Single,0
33,Male,Sales Representative,1,Medical,Human Resources,Married,0
34,Male,Research Scientist,4,Life Sciences,Research & Development,Married,0
35,Female,Sales Representative,2,Marketing,Research & Development,Married,1
36,Male,Laboratory Technician,1,Life Sciences,Sales,Married,0
37,Female,Healthcare Representative,1,Technical Degree,Research & Development,Single,0
38,Male,Healthcare Representative,1,Technical Degree,Research & Development,Single,1
39,Male,Sales Executive,3,Other,Sales,Single,1
40,Male,Laboratory Technician,3,Other,Research & Development,Married,0
41,Female,Human Resources,1,Medical,Sales,Divorced,0
42,Male,Sales Representative,1,Life Sciences,Sales,Divorced,0
43,Male,Human Resources,1,Life Sciences,Sales,Married,0
44,Male,Laboratory Technician,3,Life Sciences,Sales,Divorced,0
45,Male,Sales Executive,1,Life Sciences,Human Resources,Divorced,0
46,Male,Research Scientist,1,Other,Research & Development,Single,0
47,Male,Healthcare Representative,1,Marketing,Research & Development,Divorced,0
48,Male,Sales Representative,1,Life Sciences,Research & Development,Divorced,1
49,Male,Sales Representative,1,Marketing,Research & Development,Married,0
50,Male,Laboratory Technician,1,Medical,Research & Development,Single,0
51,Male,Sales Representative,1,Life Sciences,Human Resources,Married,1
52,Female,Laboratory Technician,1,Medical,Sales,Married,1
53,Male,Sales Executive,3,Life Sciences,Research & Development,Married,1
54,Male,Laboratory Technician,1,Life Sciences,Sales,Married,0
55,Female,Laboratory Technician,1,Life Sciences,Research & Development,Divorced,0
56,Male,Human Resources,1,Marketing,Human Resources,Married,1
57,Female,Sales Executive,1,Technical Degree,Sales,Divorced,0
58,Male,Laboratory Technician,1,Technical Degree,Research & Development,Single,0
59,Male,Manufacturing Director,1,Technical Degree,Research & Development,Single,0
60,Male,Healthcare Representative,2,Human Resources,Research & Development,Single,0
